,AE_TopFactor_1,AE_TopFactor_2,AE_TopFactor_3,Spread_10y_2y,CPI,BankRate
AE_TopFactor_1,1.0,0.9709392140893147,-0.5746024884843354,-0.09808563849073067,0.7379842212197909,0.8274505455073335
AE_TopFactor_2,0.9709392140893147,1.0,-0.510765850109515,-0.2305515048279037,0.7809986441744912,0.8603154448296751
AE_TopFactor_3,-0.5746024884843354,-0.510765850109515,1.0,0.4383759026672772,-0.12614247517121238,-0.7937147576694705
Spread_10y_2y,-0.09808563849073067,-0.2305515048279037,0.4383759026672772,1.0,0.03373002384894146,-0.573148538948169
CPI,0.7379842212197909,0.7809986441744912,-0.12614247517121238,0.03373002384894146,1.0,0.5467958461063203
BankRate,0.8274505455073335,0.8603154448296751,-0.7937147576694705,-0.573148538948169,0.5467958461063203,1.0
