,Level,Slope,Curvature,Spread_10y_2y,CPI,BankRate
Level,1.0,-0.4810819619658109,-0.5714221566610764,0.38712562442289966,-0.009800356175625288,0.010974387450364291
Slope,-0.4810819619658109,1.0,0.10684548320246624,-0.8099311470186057,-0.016451594370248148,0.10193463464770909
Curvature,-0.5714221566610764,0.10684548320246624,1.0,-0.47982476271914665,0.01752870700564422,0.0242535862484675
Spread_10y_2y,0.38712562442289966,-0.8099311470186057,-0.47982476271914665,1.0,0.012390257003328627,-0.08683282098602065
CPI,-0.009800356175625288,-0.016451594370248148,0.01752870700564422,0.012390257003328627,1.0,-0.00016791531688817798
BankRate,0.010974387450364291,0.10193463464770909,0.0242535862484675,-0.08683282098602065,-0.00016791531688817798,1.0
