Rank,Latent_Idx,Mean,Std,Min,Max,Range
1,4,1.227169,1.60118,0.0,5.847874,5.847874
2,3,1.114105,1.575033,0.0,5.935405,5.935405
3,10,1.041888,1.280583,0.0,4.392434,4.392434
