,Model,N,MSE,RMSE,MAE,R2
1,PCA_LR,365,0.000612,0.024739,0.016601,0.994617
2,AE_dense,365,0.00329,0.057363,0.036089,0.350303
3,AE_MLP,365,0.006405,0.080031,0.054701,-0.649492
4,PCA_LSTM,365,0.007831,0.088495,0.063902,-0.279354
5,PCA_GRU,365,0.008152,0.09029,0.066479,-0.577881
6,AE_GRU,365,0.009178,0.095803,0.067736,-0.828342
7,AE_LSTM,365,0.013367,0.115614,0.084231,-1.356685
8,PCA_MLP,365,0.016475,0.128355,0.110265,0.041891
