,Model,N,MSE,RMSE,MAE,R2
1,PCA_LR,678,9.7e-05,0.009846,0.005776,0.98814
2,AE_dense,678,0.004493,0.067028,0.039434,-3.412004
3,AE_MLP,678,0.0131,0.114455,0.077212,-3.758775
4,PCA_LSTM,678,0.033839,0.183954,0.170052,-13.513165
5,PCA_MLP,678,0.042128,0.205251,0.194777,-16.412967
6,AE_GRU,678,0.058518,0.241906,0.21764,-10.834439
7,PCA_GRU,678,0.062755,0.250509,0.22225,-8.879995
8,AE_LSTM,678,0.085329,0.292111,0.264898,-11.452007
