0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
0.8400796,1.5532901,0.0,3.9376376,4.3885827,0.0,0.0,3.2948065,1.2315662,0.0,0.0,2.2711177,0.5244374,0.0,0.0,1.195018
0.8391251,1.5676084,0.0,3.952919,4.397608,0.0,0.0,3.309189,1.2518442,0.0,0.0,2.2866366,0.5208203,0.0,0.0,1.1993535
0.8381716,1.5819262,0.0,3.9682014,4.406635,0.0,0.0,3.3235722,1.2721224,0.0,0.0,2.302155,0.51720184,0.0,0.0,1.2036881
0.8405378,1.6261723,0.0,3.8519719,4.2994986,0.0,0.0,3.1240976,1.2481346,0.0,0.0,2.2522054,0.5503201,0.0,0.0,1.2181002
0.8586246,1.6097238,0.0,3.7789595,4.2632146,0.0,0.0,3.0057082,1.17741,0.0,0.0,2.1876147,0.55947214,0.0,0.0,1.2313203
0.8594419,1.5862619,0.0,3.83353,4.3198605,0.0,0.0,3.099828,1.1837412,0.0,0.0,2.2132804,0.54281104,0.0,0.0,1.2289958
0.8523502,1.5590155,0.0,3.9351878,4.4191604,0.0,0.0,3.2543564,1.2076522,0.0,0.0,2.2558825,0.4910501,0.0,0.0,1.229544
0.8634684,1.5028075,0.0,4.04002,4.478306,0.0,0.0,3.30606,1.2366012,0.0,0.0,2.2541165,0.4280175,0.0,0.0,1.2602977
0.87020767,1.4354423,0.0,4.1576424,4.5337377,0.0,0.0,3.3576422,1.2621073,0.0,0.0,2.2426221,0.37253693,0.0,0.0,1.2713772
0.87836486,1.3666375,0.0,4.278241,4.5910463,0.0,0.0,3.4142976,1.2589837,0.0,0.0,2.2361217,0.31325617,0.0,0.0,1.282179
0.8699693,1.4232377,0.0,4.2010098,4.565585,0.0,0.0,3.401118,1.2663172,0.0,0.0,2.2568493,0.35329494,0.0,0.0,1.275513
0.8828444,1.5017769,0.0,4.172842,4.5625415,0.0,0.0,3.3374588,1.2977102,0.0,0.0,2.281877,0.34418216,0.0,0.0,1.3219196
0.9729421,1.5282831,0.0,4.233654,4.669619,0.0,0.0,3.3840404,1.2823176,0.0,0.0,2.3871324,0.39183524,0.0,0.0,1.3824764
