,Model,N,MSE,RMSE,MAE,R2
1,PCA_LR,120,0.000242,0.015558,0.01002,0.944759
2,PCA_GRU,120,0.000743,0.027267,0.020073,0.83643
3,AE_LSTM,120,0.000746,0.027306,0.020366,0.820921
4,AE_GRU,120,0.000898,0.02996,0.020681,0.790251
5,AE_dense,120,0.001255,0.035424,0.025714,0.725292
6,PCA_LSTM,120,0.001498,0.038698,0.03118,0.681294
7,AE_MLP,120,0.001566,0.039574,0.031636,0.642723
8,PCA_MLP,120,0.003919,0.062602,0.049362,0.100354
