,Level,Slope,Curvature,Spread_10y_2y,CPI,BankRate
Level,1.0,-0.3446357015499255,0.08057743550209424,-0.20495285045747968,0.5362203581259063,0.8877683220111642
Slope,-0.3446357015499255,1.0,-0.26625941605088205,-0.8075782421465815,-0.24861604511166488,0.06830931633845935
Curvature,0.08057743550209424,-0.26625941605088205,1.0,-0.036506570645093675,-0.10822525456961837,0.06954338577494786
Spread_10y_2y,-0.20495285045747968,-0.8075782421465815,-0.036506570645093675,1.0,0.03342669250748698,-0.5735107169700081
CPI,0.5362203581259063,-0.24861604511166488,-0.10822525456961837,0.03342669250748698,1.0,0.5468213736097182
BankRate,0.8877683220111642,0.06830931633845935,0.06954338577494786,-0.5735107169700081,0.5468213736097182,1.0
