,AE_TopFactor_1,AE_TopFactor_2,AE_TopFactor_3,Spread_10y_2y,CPI,BankRate
AE_TopFactor_1,1.0,0.8520703619980291,-0.026849027222878064,0.013938534828563763,-0.015596338856524094,-0.009919855379613445
AE_TopFactor_2,0.8520703619980291,1.0,-0.030490615569041563,0.00024058001755960853,-0.002254873027315575,0.00047857309284453267
AE_TopFactor_3,-0.026849027222878064,-0.030490615569041563,1.0,0.0199990595500168,0.014427097032046601,0.011516294391023646
Spread_10y_2y,0.013938534828563763,0.00024058001755960853,0.0199990595500168,1.0,0.012391619474531679,-0.08685913237320146
CPI,-0.015596338856524094,-0.002254873027315575,0.014427097032046601,0.012391619474531679,1.0,-0.00016798916160092053
BankRate,-0.009919855379613445,0.00047857309284453267,0.011516294391023646,-0.08685913237320146,-0.00016798916160092053,1.0
